Azure Sphere,Release Notes,11796,CVE-2020-16970,Azure Sphere Unsigned Code Execution Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17071,Windows Delivery Optimization Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17071,Windows Delivery Optimization Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17071,Windows Delivery Optimization Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17071,Windows Delivery Optimization Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17071,Windows Delivery Optimization Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17071,Windows Delivery Optimization Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17071,Windows Delivery Optimization Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17071,Windows Delivery Optimization Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17073,Windows Update Orchestrator Service Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17073,Windows Update Orchestrator Service Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17073,Windows Update Orchestrator Service Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17073,Windows Update Orchestrator Service Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17074,Windows Update Orchestrator Service Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17074,Windows Update Orchestrator Service Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17074,Windows Update Orchestrator Service Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17074,Windows Update Orchestrator Service Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17075,Windows USO Core Worker Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17075,Windows USO Core Worker Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17075,Windows USO Core Worker Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17075,Windows USO Core Worker Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17075,Windows USO Core Worker Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17075,Windows USO Core Worker Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17075,Windows USO Core Worker Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17075,Windows USO Core Worker Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17075,Windows USO Core Worker Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17075,Windows USO Core Worker Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17076,Windows Update Orchestrator Service Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17076,Windows Update Orchestrator Service Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17076,Windows Update Orchestrator Service Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17076,Windows Update Orchestrator Service Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17077,Windows Update Stack Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17077,Windows Update Stack Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17077,Windows Update Stack Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17077,Windows Update Stack Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17077,Windows Update Stack Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17077,Windows Update Stack Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17077,Windows Update Stack Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17087,Windows Kernel Local Elevation of Privilege Vulnerability
Windows Server, version 20H2 (Server Core Installation),4586781,11803,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows Server, version 20H2 (Server Core Installation),4586781,11803,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17088,Windows Common Log File System Driver Elevation of Privilege Vulnerability
Windows 10 Version 2004 for x64-based Systems,4586781,11768,CVE-2020-17090,Microsoft Defender for Endpoint Security Feature Bypass Vulnerability
Windows 10 Version 2004 for x64-based Systems,4586781,11768,CVE-2020-17090,Microsoft Defender for Endpoint Security Feature Bypass Vulnerability
Windows 10 Version 1809 for x64-based Systems,4586793,11569,CVE-2020-17090,Microsoft Defender for Endpoint Security Feature Bypass Vulnerability
Windows 10 Version 1809 for x64-based Systems,4586793,11569,CVE-2020-17090,Microsoft Defender for Endpoint Security Feature Bypass Vulnerability
Windows 10 Version 1803 for x64-based Systems,4586785,11498,CVE-2020-17090,Microsoft Defender for Endpoint Security Feature Bypass Vulnerability
Windows 10 Version 1903 for 32-bit Systems,4586786,11644,CVE-2020-17090,Microsoft Defender for Endpoint Security Feature Bypass Vulnerability
Windows 10 Version 1903 for 32-bit Systems,4586786,11644,CVE-2020-17090,Microsoft Defender for Endpoint Security Feature Bypass Vulnerability
Microsoft Visual Studio 2017 version 15.9 (includes 15.0 - 15.8),Release Notes,11600,CVE-2020-17100,Visual Studio Tampering Vulnerability
Windows 10 Version 20H2 for ARM64-based Systems,4586781,11802,CVE-2020-17113,Windows Camera Codec Information Disclosure Vulnerability
Windows 10 Version 20H2 for ARM64-based Systems,4586781,11802,CVE-2020-17113,Windows Camera Codec Information Disclosure Vulnerability
Windows 10 Version 1803 for x64-based Systems,4586785,11498,CVE-2020-17113,Windows Camera Codec Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17113,Windows Camera Codec Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17113,Windows Camera Codec Information Disclosure Vulnerability
Windows 10 Version 1909 for ARM64-based Systems,4586786,11714,CVE-2020-17113,Windows Camera Codec Information Disclosure Vulnerability
Windows 10 Version 1909 for ARM64-based Systems,4586786,11714,CVE-2020-17113,Windows Camera Codec Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17113,Windows Camera Codec Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17113,Windows Camera Codec Information Disclosure Vulnerability
Windows 10 for x64-based Systems,4586787,10735,CVE-2020-17113,Windows Camera Codec Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-1599,Windows Spoofing Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-1599,Windows Spoofing Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-1599,Windows Spoofing Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-1599,Windows Spoofing Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-1599,Windows Spoofing Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-1599,Windows Spoofing Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-1599,Windows Spoofing Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-1599,Windows Spoofing Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-1599,Windows Spoofing Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-1599,Windows Spoofing Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16981,Azure Sphere Elevation of Privilege Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16982,Azure Sphere Unsigned Code Execution Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16983,Azure Sphere Tampering Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16984,Azure Sphere Unsigned Code Execution Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16985,Azure Sphere Information Disclosure Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16986,Azure Sphere Denial of Service Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16987,Azure Sphere Unsigned Code Execution Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16988,Azure Sphere Elevation of Privilege Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16989,Azure Sphere Elevation of Privilege Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16990,Azure Sphere Information Disclosure Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16991,Azure Sphere Unsigned Code Execution Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16992,Azure Sphere Elevation of Privilege Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16993,Azure Sphere Elevation of Privilege Vulnerability
Azure Sphere,Release Notes,11796,CVE-2020-16994,Azure Sphere Unsigned Code Execution Vulnerability
Microsoft Dynamics 365 (on-premises) version 9.0,4584611,11664,CVE-2020-17005,Microsoft Dynamics 365 (on-premises) Cross-site Scripting Vulnerability
Microsoft Dynamics CRM 2015 (on-premises) version 7.0,4577009,11665,CVE-2020-17006,Microsoft Dynamics 365 (on-premises) Cross-site Scripting Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17007,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17007,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17007,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17007,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17007,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17007,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17007,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17007,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17007,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17007,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17010,Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17010,Win32k Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17010,Win32k Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17010,Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17011,Windows Port Class Library Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17012,Windows Bind Filter Driver Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17012,Windows Bind Filter Driver Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17012,Windows Bind Filter Driver Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17013,Win32k Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17013,Win32k Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17013,Win32k Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17013,Win32k Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17013,Win32k Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17013,Win32k Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17013,Win32k Information Disclosure Vulnerability
Windows 10 Version 1903 for 32-bit Systems,4586786,11644,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 1903 for 32-bit Systems,4586786,11644,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17014,Windows Print Spooler Elevation of Privilege Vulnerability
Microsoft SharePoint Enterprise Server 2016,4486717,10950,CVE-2020-17015,Microsoft SharePoint Spoofing Vulnerability
Microsoft SharePoint Enterprise Server 2016,4486717,10950,CVE-2020-17015,Microsoft SharePoint Spoofing Vulnerability
Microsoft SharePoint Server 2019,4486714,11585,CVE-2020-17015,Microsoft SharePoint Spoofing Vulnerability
