Azure DevOps Server 2019.0.1,Release Notes,11675,CVE-2021-27067,Azure DevOps Server and Team Foundation Server Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28317,Microsoft Windows Codecs Library Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28317,Microsoft Windows Codecs Library Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-28317,Microsoft Windows Codecs Library Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-28317,Microsoft Windows Codecs Library Information Disclosure Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28317,Microsoft Windows Codecs Library Information Disclosure Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28317,Microsoft Windows Codecs Library Information Disclosure Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28317,Microsoft Windows Codecs Library Information Disclosure Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28317,Microsoft Windows Codecs Library Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28318,Windows GDI+ Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-28319,Windows TCP/IP Driver Denial of Service Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28319,Windows TCP/IP Driver Denial of Service Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28319,Windows TCP/IP Driver Denial of Service Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28319,Windows TCP/IP Driver Denial of Service Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28319,Windows TCP/IP Driver Denial of Service Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28319,Windows TCP/IP Driver Denial of Service Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28319,Windows TCP/IP Driver Denial of Service Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-28320,Windows Resource Manager PSM Service Extension Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28320,Windows Resource Manager PSM Service Extension Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28320,Windows Resource Manager PSM Service Extension Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28320,Windows Resource Manager PSM Service Extension Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28320,Windows Resource Manager PSM Service Extension Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28320,Windows Resource Manager PSM Service Extension Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28320,Windows Resource Manager PSM Service Extension Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-28320,Windows Resource Manager PSM Service Extension Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28320,Windows Resource Manager PSM Service Extension Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28320,Windows Resource Manager PSM Service Extension Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-28321,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28321,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28321,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28321,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28321,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28321,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28321,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Microsoft Visual Studio 2019 version 16.9 (includes 16.0 - 16.8),Release Notes,11872,CVE-2021-28321,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Microsoft Visual Studio 2015 Update 3,5001292,10577,CVE-2021-28321,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-28322,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28322,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28322,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28322,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28322,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28322,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28322,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Microsoft Visual Studio 2019 version 16.9 (includes 16.0 - 16.8),Release Notes,11872,CVE-2021-28322,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Microsoft Visual Studio 2015 Update 3,5001292,10577,CVE-2021-28322,Diagnostics Hub Standard Collector Service Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28323,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28324,Windows SMB Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28324,Windows SMB Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28325,Windows SMB Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-28326,Windows AppX Deployment Server Denial of Service Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28326,Windows AppX Deployment Server Denial of Service Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28326,Windows AppX Deployment Server Denial of Service Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28326,Windows AppX Deployment Server Denial of Service Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28326,Windows AppX Deployment Server Denial of Service Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28326,Windows AppX Deployment Server Denial of Service Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28326,Windows AppX Deployment Server Denial of Service Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-28326,Windows AppX Deployment Server Denial of Service Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28326,Windows AppX Deployment Server Denial of Service Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28326,Windows AppX Deployment Server Denial of Service Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28327,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28328,Windows DNS Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-28329,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-28330,Remote Procedure Call Runtime Remote Code Execution Vulnerability
